xflr5 v6.61

Plane name :        RQ4 Global Hawk
Polar name :        VLM_H10K_V158_C143
Freestream speed : 158.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000   0.113905   0.000145   0.008624   0.008769  -0.000000  -0.000000  -0.185860  -0.000000   0.000000  158.0000     2.3992
   -3.500     0.000   0.165157   0.000302   0.007981   0.008283  -0.000000  -0.000000  -0.217633  -0.000000   0.000000  158.0000     1.9318
   -3.000     0.000   0.216396   0.000517   0.007365   0.007882  -0.000000  -0.000000  -0.249624  -0.000000   0.000000  158.0000     1.6858
   -2.500     0.000   0.267618   0.000789   0.006799   0.007587  -0.000000  -0.000000  -0.281809  -0.000000   0.000000  158.0000     1.5340
   -2.000     0.000   0.318816   0.001117   0.006327   0.007445  -0.000000  -0.000000  -0.314146  -0.000000   0.000000  158.0000     1.4310
   -1.500     0.000   0.369986   0.001503   0.005909   0.007412  -0.000000  -0.000000  -0.346636  -0.000000   0.000000  158.0000     1.3565
   -1.000     0.000   0.421122   0.001946   0.005728   0.007675  -0.000000  -0.000000  -0.379241   0.000000   0.000000  158.0000     1.3001
   -0.500     0.000   0.472218   0.002446   0.005620   0.008066  -0.000000  -0.000000  -0.411998   0.000000   0.000000  158.0000     1.2559
    0.000     0.000   0.523270   0.003002   0.005554   0.008556  -0.000000  -0.000000  -0.444909   0.000000   0.000000  158.0000     1.2204
    0.500     0.000   0.574272   0.003614   0.005464   0.009079  -0.000000  -0.000000  -0.477972   0.000000   0.000000  158.0000     1.1912
    1.000     0.000   0.625218   0.004283   0.005352   0.009635  -0.000000  -0.000000  -0.511176   0.000000   0.000000  158.0000     1.1668
    1.500     0.000   0.676103   0.005006   0.005106   0.010112  -0.000000  -0.000000  -0.544537  -0.000000   0.000000  158.0000     1.1461
    2.000     0.000   0.726922   0.005785   0.004808   0.010593  -0.000000  -0.000000  -0.578018  -0.000000   0.000000  158.0000     1.1283
    2.500     0.000   0.777670   0.006618   0.004594   0.011212  -0.000000  -0.000000  -0.611592  -0.000000   0.000000  158.0000     1.1129
    3.000     0.000   0.828341   0.007505   0.004378   0.011883  -0.000000  -0.000000  -0.645253   0.000000   0.000000  158.0000     1.0994
    3.500     0.000   0.878930   0.008446   0.004379   0.012825  -0.000000  -0.000000  -0.678953   0.000000   0.000000  158.0000     1.0874
    4.000     0.000   0.929431   0.009440   0.004609   0.014049  -0.000000  -0.000000  -0.712700   0.000000   0.000000  158.0000     1.0768
    4.500     0.000   0.979841   0.010486   0.005007   0.015493  -0.000000  -0.000000  -0.746493   0.000000   0.000000  158.0000     1.0673
    5.000     0.000   1.030152   0.011584   0.005596   0.017180  -0.000000  -0.000000  -0.780313   0.000000  -0.000000  158.0000     1.0588
    5.500     0.000   1.080360   0.012732   0.006478   0.019210  -0.000000  -0.000000  -0.814134   0.000000  -0.000000  158.0000     1.0510
    6.000     0.000   1.130461   0.013931   0.007409   0.021340  -0.000000  -0.000000  -0.847979   0.000000   0.000000  158.0000     1.0440
    6.500     0.000   1.180448   0.015179   0.011878   0.027058  -0.000000  -0.000000  -0.881184   0.000000   0.000000  158.0000     1.0376


