xflr5 v6.61

Plane name :        RQ4 Global Hawk
Polar name :        VLM_SL_V20_C143
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000   0.113905   0.000145   0.012491   0.012636  -0.000000  -0.000000  -0.184785  -0.000000   0.000000   20.0000     2.3992
   -3.500     0.000   0.165157   0.000302   0.010973   0.011276  -0.000000  -0.000000  -0.216801  -0.000000   0.000000   20.0000     1.9318
   -3.000     0.000   0.216396   0.000517   0.009921   0.010438  -0.000000  -0.000000  -0.248914  -0.000000   0.000000   20.0000     1.6858
   -2.500     0.000   0.267618   0.000789   0.009245   0.010034  -0.000000  -0.000000  -0.281123  -0.000000   0.000000   20.0000     1.5340
   -2.000     0.000   0.318816   0.001117   0.008788   0.009905  -0.000000  -0.000000  -0.313469  -0.000000   0.000000   20.0000     1.4310
   -1.500     0.000   0.369986   0.001503   0.008330   0.009833  -0.000000  -0.000000  -0.345997  -0.000000   0.000000   20.0000     1.3565
   -1.000     0.000   0.421122   0.001946   0.008063   0.010010  -0.000000  -0.000000  -0.378666  -0.000000   0.000000   20.0000     1.3001
   -0.500     0.000   0.472218   0.002446   0.007863   0.010309  -0.000000  -0.000000  -0.411471   0.000000   0.000000   20.0000     1.2559
    0.000     0.000   0.523270   0.003002   0.007688   0.010690  -0.000000  -0.000000  -0.444417   0.000000   0.000000   20.0000     1.2204
    0.500     0.000   0.574272   0.003614   0.007271   0.010885  -0.000000  -0.000000  -0.477580  -0.000000   0.000000   20.0000     1.1912
    1.000     0.000   0.625218   0.004283   0.006322   0.010605  -0.000000  -0.000000  -0.510974  -0.000000   0.000000   20.0000     1.1668
    1.500     0.000   0.676103   0.005006   0.005767   0.010773  -0.000000  -0.000000  -0.544360   0.000000   0.000000   20.0000     1.1461
    2.000     0.000   0.726922   0.005785   0.005565   0.011350  -0.000000  -0.000000  -0.577798   0.000000   0.000000   20.0000     1.1283
    2.500     0.000   0.777670   0.006618   0.005516   0.012133  -0.000000  -0.000000  -0.611337   0.000000   0.000000   20.0000     1.1129
    3.000     0.000   0.828341   0.007505   0.005556   0.013061  -0.000000  -0.000000  -0.644956   0.000000   0.000000   20.0000     1.0994
    3.500     0.000   0.878930   0.008446   0.005630   0.014076  -0.000000  -0.000000  -0.678658   0.000000   0.000000   20.0000     1.0874
    4.000     0.000   0.929431   0.009440   0.005705   0.015145  -0.000000  -0.000000  -0.712433   0.000000   0.000000   20.0000     1.0768
    4.500     0.000   0.979841   0.010486   0.005765   0.016251  -0.000000  -0.000000  -0.746277   0.000000   0.000000   20.0000     1.0673
    5.000     0.000   1.030152   0.011584   0.005873   0.017457  -0.000000  -0.000000  -0.780172   0.000000   0.000000   20.0000     1.0588
    5.500     0.000   1.080360   0.012732   0.006051   0.018783  -0.000000  -0.000000  -0.814105   0.000000  -0.000000   20.0000     1.0510
    6.000     0.000   1.130461   0.013931   0.006360   0.020291  -0.000000  -0.000000  -0.848057   0.000000   0.000000   20.0000     1.0440
    6.500     0.000   1.180448   0.015179   0.010197   0.025376  -0.000000  -0.000000  -0.881452   0.000000   0.000000   20.0000     1.0376
    7.000     0.000   1.230316   0.016476   0.026419   0.042895  -0.000000  -0.000000  -0.913432   0.000000   0.000000   20.0000     1.0318
    7.500     0.000   1.280061   0.017821   0.034107   0.051928  -0.000000  -0.000000  -0.946791   0.000000  -0.000000   20.0000     1.0264
    8.000     0.000   1.329678   0.019212   0.038848   0.058060  -0.000000  -0.000000  -0.980372   0.000000   0.000000   20.0000     1.0214


